loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
3.468360662460327,0.4735853970050812,0.6041174530982971,0.3885133862495422,0.4735853970050812,0.7030060291290283,0.5197767019271851,2.777775526046753,0.4384340643882751,0.2907220423221588,0.2990458309650421,0.4384340643882751,0.7305482625961304,0.653969943523407
2.625890254974365,0.4287910461425781,0.2306086719036102,0.2720460891723633,0.4287910461425781,0.735181450843811,0.661146879196167,2.211592197418213,0.3592350780963897,0.1921479851007461,0.2543902099132538,0.3592350780963897,0.739142894744873,0.7247853875160217
2.159489154815674,0.3558473587036133,0.1722001880407333,0.2439081966876983,0.3558473587036133,0.740196168422699,0.7176381349563599,1.7450796365737915,0.2808282971382141,0.1492519527673721,0.2341221421957016,0.2808282971382141,0.7430120706558228,0.7559012770652771
1.6818283796310425,0.2749633193016052,0.1303883790969848,0.2228576093912124,0.2749633193016052,0.7438786625862122,0.7463096380233765,1.6661804914474487,0.28028604388237,0.1066437289118766,0.2095702290534973,0.28028604388237,0.7465879917144775,0.7816523313522339
1.4728639125823977,0.2423834949731826,0.1051128208637237,0.2065537124872207,0.2423834949731826,0.7460912466049194,0.7603141665458679,1.8931249380111688,0.3352528512477875,0.0818595364689827,0.1881421357393264,0.3352528512477875,0.7484249472618103,0.79935622215271
1.3002400398254397,0.2127892971038818,0.0929381474852562,0.1937730759382248,0.2127892971038818,0.7471820712089539,0.7758327126502991,2.297145366668701,0.42042276263237,0.0717740952968597,0.1747417747974395,0.42042276263237,0.7496157884597778,0.8138412237167358
1.1834551095962524,0.1940198838710785,0.0814260989427566,0.1824332624673843,0.1940198838710785,0.7480940818786621,0.7943792343139648,1.3788529634475708,0.2380782961845398,0.0703612864017486,0.1658387184143066,0.2380782961845398,0.7497924566268921,0.8251072764396667
1.1046539545059204,0.1807358264923095,0.077001467347145,0.1709471493959427,0.1807358264923095,0.7485102415084839,0.8046934008598328,1.0401475429534912,0.1749478578567505,0.0607577376067638,0.1485430300235748,0.1749478578567505,0.7503823637962341,0.8465664982795715
0.968944787979126,0.1564313322305679,0.0708044916391372,0.1611646860837936,0.1564313322305679,0.7490624785423279,0.8181301951408386,1.0221478939056396,0.173007071018219,0.0590165108442306,0.1371757984161377,0.173007071018219,0.7510219812393188,0.8578326106071472
0.864520251750946,0.1374516189098358,0.0659035369753837,0.1568117290735244,0.1374516189098358,0.7495168447494507,0.8264572024345398,0.937246322631836,0.1583560854196548,0.0547826923429966,0.1265833377838134,0.1583560854196548,0.7510669231414795,0.8690987229347229
